"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Foaming at mouth","POOLED","Foaming at mouth","口吐白沫","General disorders and administration site conditions","全身性疾病及给药部位各种反应","40","40","14741","1893","19889805","14781","1933","19906479","28.51","20.84","39.01","28.44","1037.06","4.8","4.48","1.4353","20.93","11.7","1","1","1","1","1","1","28.51 (20.84, 39.01)"
"Sialoadenitis","POOLED","Sialoadenitis","涎腺炎","Infections and infestations","感染及侵染类疾病","26","26","14755","1240","19890458","14781","1266","19906479","28.27","19.16","41.69","28.22","668.6","4.79","4.39","0.94","18.4","9.98","1","1","1","1","1","1","28.27 (19.16, 41.69)"
"Aneurysm ruptured","POOLED","Aneurysm ruptured","动脉瘤破裂","Vascular disorders","血管与淋巴管类疾病","17","17","14764","852","19890846","14781","869","19906479","26.88","16.63","43.46","26.85","414.86","4.72","4.23","0.6453","15.28","7.93","1","1","1","1","1","1","26.88 (16.63, 43.46)"
"Amaurosis","POOLED","Amaurosis","黑朦","Eye disorders","眼器官疾病","15","15","14766","767","19890931","14781","782","19906479","26.34","15.8","43.93","26.32","358.36","4.69","4.17","0.5807","14.34","7.33","1","1","1","1","1","1","26.34 (15.80, 43.93)"
"Iodine allergy","POOLED","Iodine allergy","碘过敏","Immune system disorders","免疫系统疾病","6","6","14775","313","19891385","14781","319","19906479","25.81","11.5","57.89","25.8","140.33","4.66","3.84","0.2369","8.82","3.77","1","1","1","1","1","1","25.81 (11.50, 57.89)"
"Throat tightness","POOLED","Throat tightness","咽喉缩紧感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","434","434","14347","25248","19866450","14781","25682","19906479","23.8","21.62","26.21","23.13","9046.82","4.51","4.41","19.0695","22.2","13.12","1","1","1","1","1","1","23.80 (21.62, 26.21)"
"Nasal pruritus","POOLED","Nasal pruritus","鼻瘙痒","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","20","20","14761","1140","19890558","14781","1160","19906479","23.64","15.19","36.79","23.61","425.6","4.54","4.09","0.8613","15.06","7.96","1","1","1","1","1","1","23.64 (15.19, 36.79)"
"Documented hypersensitivity to administered product","POOLED","Documented hypersensitivity to administered product","（患者）对所给产品有记录在案的超敏性","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","13","13","14768","770","19890928","14781","783","19906479","22.74","13.14","39.35","22.72","265.47","4.48","3.92","0.5814","12.48","6.25","1","1","1","1","1","1","22.74 (13.14, 39.35)"
"Pulse absent","POOLED","Pulse absent","脉搏消失","Investigations","各类检查","76","76","14705","4546","19887152","14781","4622","19906479","22.61","18.01","28.38","22.5","1535.94","4.47","4.24","3.4319","19.46","11.19","1","1","1","1","1","1","22.61 (18.01, 28.38)"
"Respiratory tract oedema","POOLED","Respiratory tract oedema","呼吸道水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","11","11","14770","669","19891029","14781","680","19906479","22.14","12.2","40.19","22.13","218.32","4.45","3.84","0.5049","11.44","5.58","1","1","1","1","1","1","22.14 (12.20, 40.19)"
"Compartment syndrome","POOLED","Compartment syndrome","骨筋膜室综合征","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","39","39","14742","2476","19889222","14781","2515","19906479","21.25","15.48","29.17","21.2","738.99","4.38","4.06","1.8674","16.68","9.31","1","1","1","1","1","1","21.25 (15.48, 29.17)"
"Henoch-Schonlein purpura","POOLED","Henoch-Schonlein purpura","过敏性紫癜","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","30","30","14751","1961","19889737","14781","1991","19906479","20.63","14.38","29.59","20.59","550.72","4.34","3.97","1.4784","15.42","8.46","1","1","1","1","1","1","20.63 (14.38, 29.59)"
"KOUNIS SYNDROME","POOLED","KOUNIS SYNDROME","过敏性冠状动脉痉挛综合征","Cardiac disorders","心脏器官疾病","31","31","14750","2027","19889671","14781","2058","19906479","20.62","14.46","29.41","20.58","568.89","4.34","3.98","1.5281","15.53","8.54","1","1","1","1","1","1","20.62 (14.46, 29.41)"
"CARDIAC PROCEDURE COMPLICATION","POOLED","CARDIAC PROCEDURE COMPLICATION","心脏操作并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","9","9","14772","597","19891101","14781","606","19906479","20.3","10.51","39.21","20.29","162.59","4.32","3.65","0.45","10","4.7","1","1","1","1","1","1","20.30 (10.51, 39.21)"
"Dysphoria","POOLED","Dysphoria","烦躁不安","Psychiatric disorders","精神病类","71","71","14710","4857","19886841","14781","4928","19906479","19.76","15.63","24.99","19.67","1240.53","4.28","4.04","3.6591","17.19","9.86","1","1","1","1","1","1","19.76 (15.63, 24.99)"
"Urticaria","POOLED","Urticaria","荨麻疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","1924","1924","12857","154110","19737588","14781","156034","19906479","19.17","18.26","20.11","16.8","28462.71","4.05","4","115.8587","16.54","9.82","1","1","1","1","1","1","19.17 (18.26, 20.11)"
"Meningitis bacterial","POOLED","Meningitis bacterial","细菌性脑膜炎","Infections and infestations","感染及侵染类疾病","19","19","14762","1338","19890360","14781","1357","19906479","19.13","12.16","30.1","19.11","321.54","4.24","3.77","1.0076","12.93","6.8","1","1","1","1","1","1","19.13 (12.16, 30.10)"
"Pulse pressure decreased","POOLED","Pulse pressure decreased","脉压降低","Investigations","各类检查","7","7","14774","499","19891199","14781","506","19906479","18.89","8.96","39.83","18.88","116.88","4.22","3.46","0.3757","8.56","3.81","1","1","1","1","1","1","18.89 (8.96, 39.83)"
"Laryngeal pain","POOLED","Laryngeal pain","喉部疼痛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","5","5","14776","360","19891338","14781","365","19906479","18.7","7.73","45.2","18.69","82.58","4.21","3.3","0.271","7.13","2.9","1","1","1","1","1","1","18.70 (7.73, 45.20)"
"EYELID OEDEMA","POOLED","EYELID OEDEMA","眼睑水肿","Eye disorders","眼器官疾病","153","153","14628","11227","19880471","14781","11380","19906479","18.52","15.78","21.74","18.34","2476.03","4.18","4.01","8.4499","17.15","10.03","1","1","1","1","1","1","18.52 (15.78, 21.74)"
"Conjunctival oedema","POOLED","Conjunctival oedema","结膜水肿","Eye disorders","眼器官疾病","13","13","14768","966","19890732","14781","979","19906479","18.13","10.48","31.34","18.11","207.38","4.16","3.6","0.7269","11","5.51","1","1","1","1","1","1","18.13 (10.48, 31.34)"
"Cyanosis","POOLED","Cyanosis","发绀","Vascular disorders","血管与淋巴管类疾病","196","196","14585","14951","19876747","14781","15147","19906479","17.87","15.5","20.59","17.64","3039.49","4.12","3.98","11.247","16.73","9.81","1","1","1","1","1","1","17.87 (15.50, 20.59)"
"Electrocardiogram ST segment elevation","POOLED","Electrocardiogram ST segment elevation","心电图ST段抬高","Investigations","各类检查","42","42","14739","3174","19888524","14781","3216","19906479","17.86","13.16","24.22","17.81","657.69","4.14","3.83","2.388","14.72","8.25","1","1","1","1","1","1","17.86 (13.16, 24.22)"
"RHYTHM IDIOVENTRICULAR","POOLED","RHYTHM IDIOVENTRICULAR","心室自身节律","Cardiac disorders","心脏器官疾病","4","4","14777","307","19891391","14781","311","19906479","17.54","6.54","47.04","17.53","61.56","4.11","3.11","0.2309","6.16","2.33","1","1","1","1","1","1","17.54 (6.54, 47.04)"
"Throat irritation","POOLED","Throat irritation","咽喉刺激","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","523","523","14258","41641","19850057","14781","42164","19906479","17.49","16.02","19.09","16.9","7744.25","4.06","3.97","31.3077","16.46","9.73","1","1","1","1","1","1","17.49 (16.02, 19.09)"
"Pharyngeal hypoaesthesia","POOLED","Pharyngeal hypoaesthesia","咽感觉减退","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","11","11","14770","873","19890825","14781","884","19906479","16.97","9.36","30.76","16.96","163.13","4.07","3.46","0.6564","9.94","4.85","1","1","1","1","1","1","16.97 (9.36, 30.76)"
"Type I hypersensitivity","POOLED","Type I hypersensitivity","I型超敏反应","Immune system disorders","免疫系统疾病","39","39","14742","3108","19888590","14781","3147","19906479","16.93","12.34","23.23","16.89","575.77","4.06","3.74","2.3367","13.92","7.77","1","1","1","1","1","1","16.93 (12.34, 23.23)"
"Infusion site extravasation","POOLED","Infusion site extravasation","输液部位渗出","General disorders and administration site conditions","全身性疾病及给药部位各种反应","73","73","14708","5873","19885825","14781","5946","19906479","16.81","13.33","21.18","16.73","1066.54","4.05","3.81","4.415","14.95","8.59","1","1","1","1","1","1","16.81 (13.33, 21.18)"
"INJECTION SITE OEDEMA","POOLED","INJECTION SITE OEDEMA","注射部位水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","20","20","14761","1619","19890079","14781","1639","19906479","16.65","10.71","25.88","16.62","290.14","4.04","3.59","1.217","11.94","6.31","1","1","1","1","1","1","16.65 (10.71, 25.88)"
"Anaphylactic reaction","POOLED","Anaphylactic reaction","速发严重过敏反应","Immune system disorders","免疫系统疾病","603","603","14178","50808","19840890","14781","51411","19906479","16.61","15.3","18.03","15.97","8385.13","3.98","3.9","38.1738","15.6","9.24","1","1","1","1","1","1","16.61 (15.30, 18.03)"
"ORBITAL OEDEMA","POOLED","ORBITAL OEDEMA","眼眶水肿","Eye disorders","眼器官疾病","6","6","14775","487","19891211","14781","493","19906479","16.59","7.41","37.11","16.58","86.78","4.03","3.21","0.3661","7.51","3.21","1","1","1","1","1","1","16.59 (7.41, 37.11)"
"SEPTIC ARTHRITIS STAPHYLOCOCCAL","POOLED","SEPTIC ARTHRITIS STAPHYLOCOCCAL","葡萄球菌性脓毒性关节炎","Infections and infestations","感染及侵染类疾病","4","4","14777","333","19891365","14781","337","19906479","16.17","6.03","43.34","16.17","56.23","4","2.99","0.2502","6","2.27","1","1","1","1","1","1","16.17 (6.03, 43.34)"
"Circumoral oedema","POOLED","Circumoral oedema","口周水肿","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","4","4","14777","334","19891364","14781","338","19906479","16.12","6.01","43.21","16.12","56.05","3.99","2.99","0.251","5.99","2.26","1","1","1","1","1","1","16.12 (6.01, 43.21)"
"Neurogenic shock","POOLED","Neurogenic shock","神经源性休克","Vascular disorders","血管与淋巴管类疾病","6","6","14775","505","19891193","14781","511","19906479","16","7.15","35.78","15.99","83.32","3.98","3.16","0.3794","7.39","3.16","1","1","1","1","1","1","16.00 (7.15, 35.78)"
"Stridor","POOLED","Stridor","喘鸣","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","33","33","14748","2781","19888917","14781","2814","19906479","16","11.35","22.56","15.97","457.68","3.98","3.63","2.0895","12.94","7.14","1","1","1","1","1","1","16.00 (11.35, 22.56)"
"HYPERAEMIA","POOLED","HYPERAEMIA","充血","Vascular disorders","血管与淋巴管类疾病","22","22","14759","1853","19889845","14781","1875","19906479","16","10.51","24.37","15.98","305.29","3.98","3.55","1.3922","11.89","6.35","1","1","1","1","1","1","16.00 (10.51, 24.37)"
"Resuscitation","POOLED","Resuscitation","复苏","Surgical and medical procedures","各种手术及医疗操作","19","19","14762","1601","19890097","14781","1620","19906479","15.99","10.17","25.14","15.97","263.53","3.98","3.52","1.2029","11.45","6.02","1","1","1","1","1","1","15.99 (10.17, 25.14)"
"HYPOXIC ENCEPHALOPATHY","POOLED","HYPOXIC ENCEPHALOPATHY",,,,"5","5","14776","422","19891276","14781","427","19906479","15.95","6.6","38.53","15.95","69.22","3.98","3.08","0.3171","6.73","2.73","1","1","1","1","1","1","15.95 (6.60, 38.53)"
"No reaction on previous exposure to drug","POOLED","No reaction on previous exposure to drug","既往对药物暴露无反应","General disorders and administration site conditions","全身性疾病及给药部位各种反应","6","6","14775","512","19891186","14781","518","19906479","15.78","7.05","35.29","15.77","82.04","3.96","3.14","0.3846","7.35","3.14","1","1","1","1","1","1","15.78 (7.05, 35.29)"
"Papule","POOLED","Papule","丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","75","75","14706","6437","19885261","14781","6512","19906479","15.75","12.54","19.79","15.68","1019.24","3.96","3.72","4.8353","14.15","8.13","1","1","1","1","1","1","15.75 (12.54, 19.79)"
"HYPOXIC-ISCHAEMIC ENCEPHALOPATHY","POOLED","HYPOXIC-ISCHAEMIC ENCEPHALOPATHY","缺氧缺血性脑病","Nervous system disorders","各类神经系统疾病","28","28","14753","2461","19889237","14781","2489","19906479","15.34","10.56","22.27","15.31","370.38","3.92","3.54","1.8481","12.14","6.62","1","1","1","1","1","1","15.34 (10.56, 22.27)"
"Nasal obstruction","POOLED","Nasal obstruction","鼻塞","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","18","18","14763","1618","19890080","14781","1636","19906479","14.99","9.42","23.86","14.97","232.12","3.89","3.41","1.2148","10.79","5.64","1","1","1","1","1","1","14.99 (9.42, 23.86)"
"Pharyngeal oedema","POOLED","Pharyngeal oedema","咽部水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","166","166","14615","15076","19876622","14781","15242","19906479","14.97","12.84","17.46","14.82","2117.32","3.87","3.72","11.3175","14.09","8.25","1","1","1","1","1","1","14.97 (12.84, 17.46)"
"Pulse abnormal","POOLED","Pulse abnormal","脉搏异常","Investigations","各类检查","25","25","14756","2280","19889418","14781","2305","19906479","14.78","9.96","21.93","14.76","317.16","3.87","3.47","1.7115","11.53","6.23","1","1","1","1","1","1","14.78 (9.96, 21.93)"
"URTICARIA GENERALISED","POOLED","URTICARIA GENERALISED",,,,"7","7","14774","650","19891048","14781","657","19906479","14.5","6.88","30.54","14.49","87","3.84","3.08","0.4878","7.59","3.38","1","1","1","1","1","1","14.50 (6.88, 30.54)"
"Generalised erythema","POOLED","Generalised erythema",,,,"59","59","14722","5631","19886067","14781","5690","19906479","14.15","10.95","18.3","14.1","710.87","3.8","3.54","4.225","12.59","7.17","1","1","1","1","1","1","14.15 (10.95, 18.30)"
"BRONCHOSPASM","POOLED","BRONCHOSPASM","支气管痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","140","140","14641","13582","19878116","14781","13722","19906479","13.99","11.84","16.54","13.87","1656.22","3.78","3.61","10.1889","13.14","7.67","1","1","1","1","1","1","13.99 (11.84, 16.54)"
"Disorganised speech","POOLED","Disorganised speech","胡言乱语","Psychiatric disorders","精神病类","17","17","14764","1642","19890056","14781","1659","19906479","13.95","8.65","22.5","13.93","202.01","3.79","3.3","1.2318","10.1","5.25","1","1","1","1","1","1","13.95 (8.65, 22.50)"
"Skin test positive","POOLED","Skin test positive","皮肤试验阳性","Investigations","各类检查","9","9","14772","876","19890822","14781","885","19906479","13.83","7.17","26.68","13.83","106","3.78","3.11","0.6571","8.21","3.86","1","1","1","1","1","1","13.83 (7.17, 26.68)"
"Administration site extravasation","POOLED","Administration site extravasation","给药部位外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","9","9","14772","891","19890807","14781","900","19906479","13.6","7.05","26.23","13.59","103.96","3.75","3.08","0.6683","8.13","3.82","1","1","1","1","1","1","13.60 (7.05, 26.23)"
"Oedema mucosal","POOLED","Oedema mucosal","黏膜水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","10","10","14771","1010","19890688","14781","1020","19906479","13.33","7.15","24.86","13.32","112.88","3.72","3.09","0.7574","8.35","4","1","1","1","1","1","1","13.33 (7.15, 24.86)"
"Type IV hypersensitivity reaction","POOLED","Type IV hypersensitivity reaction","IV型超敏反应","Immune system disorders","免疫系统疾病","25","25","14756","2561","19889137","14781","2586","19906479","13.16","8.87","19.52","13.14","277.66","3.7","3.3","1.9202","10.54","5.69","1","1","1","1","1","1","13.16 (8.87, 19.52)"
"ELECTROMECHANICAL DISSOCIATION","POOLED","ELECTROMECHANICAL DISSOCIATION",,,,"8","8","14773","823","19890875","14781","831","19906479","13.09","6.52","26.26","13.08","88.41","3.7","2.99","0.617","7.61","3.49","1","1","1","1","1","1","13.09 (6.52, 26.26)"
"PROCEDURAL HYPOTENSION","POOLED","PROCEDURAL HYPOTENSION","操作性低血压","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","8","8","14773","833","19890865","14781","841","19906479","12.93","6.44","25.95","12.92","87.18","3.68","2.97","0.6245","7.56","3.46","1","1","1","1","1","1","12.93 (6.44, 25.95)"
"Lip oedema","POOLED","Lip oedema","唇部水肿","Gastrointestinal disorders","胃肠系统疾病","37","37","14744","3996","19887702","14781","4033","19906479","12.49","9.03","17.27","12.46","386.52","3.63","3.3","2.9946","10.73","5.97","1","1","1","1","1","1","12.49 (9.03, 17.27)"
"Lip pruritus","POOLED","Lip pruritus","口唇瘙痒","Gastrointestinal disorders","胃肠系统疾病","7","7","14774","765","19890933","14781","772","19906479","12.32","5.85","25.93","12.31","72.11","3.61","2.85","0.5732","6.99","3.11","1","1","1","1","1","1","12.32 (5.85, 25.93)"
"PARAESTHESIA ORAL","POOLED","PARAESTHESIA ORAL","口部异常感觉","Gastrointestinal disorders","胃肠系统疾病","122","122","14659","13465","19878233","14781","13587","19906479","12.29","10.27","14.69","12.19","1243.18","3.6","3.41","10.0886","11.57","6.73","1","1","1","1","1","1","12.29 (10.27, 14.69)"
"Electrocardiogram ST segment abnormal","POOLED","Electrocardiogram ST segment abnormal","心电图ST段异常","Investigations","各类检查","7","7","14774","777","19890921","14781","784","19906479","12.13","5.76","25.53","12.12","70.81","3.59","2.83","0.5821","6.93","3.08","1","1","1","1","1","1","12.13 (5.76, 25.53)"
"ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS","POOLED","ACUTE GENERALISED EXANTHEMATOUS PUSTULOSIS","急性泛发性发疹性脓疱病","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","64","64","14717","7223","19884475","14781","7287","19906479","11.97","9.36","15.32","11.92","635.13","3.56","3.31","5.4108","10.91","6.24","1","1","1","1","1","1","11.97 (9.36, 15.32)"
"Sensation of foreign body","POOLED","Sensation of foreign body","异物感","General disorders and administration site conditions","全身性疾病及给药部位各种反应","68","68","14713","7736","19883962","14781","7804","19906479","11.88","9.35","15.09","11.83","668.53","3.55","3.31","5.7946","10.88","6.23","1","1","1","1","1","1","11.88 (9.35, 15.09)"
"NEUROLOGIC NEGLECT SYNDROME","POOLED","NEUROLOGIC NEGLECT SYNDROME","神经忽略综合征","Nervous system disorders","各类神经系统疾病","4","4","14777","457","19891241","14781","461","19906479","11.78","4.4","31.53","11.78","39.11","3.55","2.54","0.3423","5.34","2.02","1","1","1","1","1","1","11.78 (4.40, 31.53)"
"Hyporesponsive to stimuli","POOLED","Hyporesponsive to stimuli","对刺激物低反应","Nervous system disorders","各类神经系统疾病","9","9","14772","1042","19890656","14781","1051","19906479","11.63","6.03","22.42","11.62","86.64","3.53","2.86","0.7804","7.42","3.48","1","1","1","1","1","1","11.63 (6.03, 22.42)"
"Pharyngeal paraesthesia","POOLED","Pharyngeal paraesthesia","咽异常感觉","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","12","12","14769","1413","19890285","14781","1425","19906479","11.44","6.48","20.19","11.43","113.24","3.5","2.92","1.0581","8.02","3.97","1","1","1","1","1","1","11.44 (6.48, 20.19)"
"Product deposit","POOLED","Product deposit","产品沉积","Product issues","产品问题","12","12","14769","1424","19890274","14781","1436","19906479","11.35","6.43","20.04","11.34","112.21","3.49","2.91","1.0663","7.98","3.95","1","1","1","1","1","1","11.35 (6.43, 20.04)"
"Face oedema","POOLED","Face oedema","面部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","131","131","14650","16136","19875562","14781","16267","19906479","11.01","9.27","13.09","10.93","1172.68","3.44","3.26","12.0786","10.45","6.09","1","1","1","1","1","1","11.01 (9.27, 13.09)"
"Gaze palsy","POOLED","Gaze palsy","凝视麻痹","Eye disorders","眼器官疾病","13","13","14768","1607","19890091","14781","1620","19906479","10.9","6.31","18.81","10.89","115.79","3.43","2.88","1.2029","7.93","3.97","1","1","1","1","1","1","10.90 (6.31, 18.81)"
"Injection site extravasation","POOLED","Injection site extravasation","注射部位外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","97","97","14684","12060","19879638","14781","12157","19906479","10.89","8.91","13.31","10.82","858.52","3.43","3.22","9.0268","10.23","5.93","1","1","1","1","1","1","10.89 (8.91, 13.31)"
"PAROTID GLAND ENLARGEMENT","POOLED","PAROTID GLAND ENLARGEMENT","腮腺增大","Gastrointestinal disorders","胃肠系统疾病","5","5","14776","621","19891077","14781","626","19906479","10.84","4.49","26.14","10.84","44.28","3.43","2.53","0.4648","5.7","2.32","1","1","1","1","1","1","10.84 (4.49, 26.14)"
"VENTRICULAR FIBRILLATION","POOLED","VENTRICULAR FIBRILLATION","室颤","Cardiac disorders","心脏器官疾病","84","84","14697","10520","19881178","14781","10604","19906479","10.8","8.71","13.4","10.75","736.96","3.42","3.2","7.8737","10.09","5.82","1","1","1","1","1","1","10.80 (8.71, 13.40)"
"Shock","POOLED","Shock","休克","Vascular disorders","血管与淋巴管类疾病","169","169","14612","21347","19870351","14781","21516","19906479","10.77","9.25","12.54","10.65","1468.38","3.4","3.25","15.9761","10.29","6.02","1","1","1","1","1","1","10.77 (9.25, 12.54)"
"Procedural complication","POOLED","Procedural complication","操作并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","58","58","14723","7394","19884304","14781","7452","19906479","10.59","8.18","13.72","10.56","498.05","3.39","3.13","5.5333","9.7","5.52","1","1","1","1","1","1","10.59 (8.18, 13.72)"
"Incorrect product formulation administered","POOLED","Incorrect product formulation administered","所用产品配方有误","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","6","6","14775","766","19890932","14781","772","19906479","10.55","4.72","23.55","10.54","51.42","3.39","2.57","0.5732","6.06","2.59","1","1","1","1","1","1","10.55 (4.72, 23.55)"
"Laryngospasm","POOLED","Laryngospasm","喉痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","20","20","14761","2588","19889110","14781","2608","19906479","10.41","6.7","16.17","10.4","168.64","3.37","2.92","1.9365","8.41","4.45","1","1","1","1","1","1","10.41 (6.70, 16.17)"
"UNRESPONSIVE TO STIMULI","POOLED","UNRESPONSIVE TO STIMULI","刺激反应消失","Nervous system disorders","各类神经系统疾病","184","184","14597","24194","19867504","14781","24378","19906479","10.35","8.95","11.98","10.23","1523.47","3.35","3.2","18.1012","9.92","5.81","1","1","1","1","1","1","10.35 (8.95, 11.98)"
"Idiosyncratic drug reaction","POOLED","Idiosyncratic drug reaction","药物特异质反应","General disorders and administration site conditions","全身性疾病及给药部位各种反应","7","7","14774","939","19890759","14781","946","19906479","10.04","4.77","21.11","10.03","56.51","3.32","2.56","0.7024","6.24","2.77","1","1","1","1","1","1","10.04 (4.77, 21.11)"
"TONGUE OEDEMA","POOLED","TONGUE OEDEMA","舌水肿","Gastrointestinal disorders","胃肠系统疾病","27","27","14754","3641","19888057","14781","3668","19906479","10","6.84","14.6","9.98","216.59","3.31","2.92","2.7236","8.53","4.64","1","1","1","1","1","1","10.00 (6.84, 14.60)"
"Conjunctival hyperaemia","POOLED","Conjunctival hyperaemia","结膜充血","Eye disorders","眼器官疾病","25","25","14756","3386","19888312","14781","3411","19906479","9.95","6.71","14.75","9.94","199.48","3.3","2.9","2.5327","8.41","4.54","1","1","1","1","1","1","9.95 (6.71, 14.75)"
"Cardio-respiratory arrest","POOLED","Cardio-respiratory arrest","心脏呼吸骤停","Cardiac disorders","心脏器官疾病","283","283","14498","40255","19851443","14781","40538","19906479","9.63","8.55","10.83","9.46","2130.75","3.23","3.11","30.1004","9.26","5.46","1","1","1","1","1","1","9.63 (8.55, 10.83)"
"Pharyngeal swelling","POOLED","Pharyngeal swelling","咽部肿胀","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","62","62","14719","8752","19882946","14781","8814","19906479","9.57","7.45","12.29","9.53","470.46","3.24","2.99","6.5446","8.87","5.06","1","1","1","1","1","1","9.57 (7.45, 12.29)"
"Tachypnoea","POOLED","Tachypnoea","呼吸急促","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","90","90","14691","12753","19878945","14781","12843","19906479","9.55","7.76","11.76","9.5","679.87","3.24","3.03","9.5362","9.02","5.21","1","1","1","1","1","1","9.55 (7.76, 11.76)"
"Lip erosion","POOLED","Lip erosion","嘴唇糜烂","Gastrointestinal disorders","胃肠系统疾病","5","5","14776","705","19890993","14781","710","19906479","9.55","3.96","23.01","9.54","37.98","3.25","2.35","0.5272","5.35","2.17","1","1","1","1","1","1","9.55 (3.96, 23.01)"
"Symmetrical drug-related intertriginous and flexural exanthema","POOLED","Symmetrical drug-related intertriginous and flexural exanthema","对称性药物相关性擦烂疹和弯曲疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","5","5","14776","731","19890967","14781","736","19906479","9.21","3.82","22.19","9.2","36.32","3.19","2.3","0.5465","5.26","2.13","1","1","1","1","1","1","9.21 (3.82, 22.19)"
"Eye pruritus","POOLED","Eye pruritus","眼睛瘙痒","Eye disorders","眼器官疾病","191","191","14590","30108","19861590","14781","30299","19906479","8.64","7.48","9.97","8.54","1264.91","3.09","2.94","22.4977","8.33","4.88","1","1","1","1","1","1","8.64 (7.48, 9.97)"
"IATROGENIC INJURY","POOLED","IATROGENIC INJURY","医源性损伤","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","8","8","14773","1264","19890434","14781","1272","19906479","8.52","4.25","17.08","8.52","52.75","3.08","2.37","0.9445","5.88","2.7","1","1","1","1","1","1","8.52 (4.25, 17.08)"
"AORTIC ANEURYSM RUPTURE","POOLED","AORTIC ANEURYSM RUPTURE","主动脉瘤破裂","Vascular disorders","血管与淋巴管类疾病","6","6","14775","950","19890748","14781","956","19906479","8.5","3.81","18.98","8.5","39.46","3.08","2.26","0.7099","5.37","2.3","1","1","1","1","1","1","8.50 (3.81, 18.98)"
"Injection related reaction","POOLED","Injection related reaction","注射相关反应","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","9","9","14772","1437","19890261","14781","1446","19906479","8.43","4.38","16.24","8.43","58.56","3.07","2.4","1.0737","6.04","2.84","1","1","1","1","1","1","8.43 (4.38, 16.24)"
"Oropharyngeal swelling","POOLED","Oropharyngeal swelling","口咽肿胀","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","6","6","14775","961","19890737","14781","967","19906479","8.41","3.77","18.76","8.4","38.89","3.06","2.24","0.718","5.34","2.28","1","1","1","1","1","1","8.41 (3.77, 18.76)"
"Skin oedema","POOLED","Skin oedema","皮肤水肿","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","6","6","14775","964","19890734","14781","970","19906479","8.38","3.75","18.7","8.38","38.73","3.06","2.24","0.7202","5.33","2.28","1","1","1","1","1","1","8.38 (3.75, 18.70)"
"PERIORBITAL OEDEMA","POOLED","PERIORBITAL OEDEMA","眼眶周围水肿","Eye disorders","眼器官疾病","30","30","14751","4885","19886813","14781","4915","19906479","8.28","5.78","11.86","8.26","190.45","3.04","2.67","3.6495","7.35","4.03","1","1","1","1","1","1","8.28 (5.78, 11.86)"
